Breakdown,Date,Day 7 Retention
Total,2025-06-12T00:00:00.000Z,0.0035587188322097063
Total,2025-06-13T00:00:00.000Z,0
Total,2025-06-14T00:00:00.000Z,0.001683501643128693
Total,2025-06-15T00:00:00.000Z,0
Total,2025-06-16T00:00:00.000Z,0.0022026430815458298
Total,2025-06-17T00:00:00.000Z,0
Total,2025-06-18T00:00:00.000Z,0
Total,2025-06-19T00:00:00.000Z,0
Total,2025-06-20T00:00:00.000Z,0.002710027154535055
Total,2025-06-21T00:00:00.000Z,0.0016420361353084445
Total,2025-06-22T00:00:00.000Z,0
Total,2025-06-23T00:00:00.000Z,0
Total,2025-06-24T00:00:00.000Z,0.0027173913549631834
Total,2025-06-25T00:00:00.000Z,0
Total,2025-06-26T00:00:00.000Z,0
Total,2025-06-27T00:00:00.000Z,0
Total,2025-06-28T00:00:00.000Z,0
Total,2025-06-29T00:00:00.000Z,0.002785515272989869
Total,2025-06-30T00:00:00.000Z,0
Total,2025-07-01T00:00:00.000Z,0
Total,2025-07-02T00:00:00.000Z,0
Total,2025-07-03T00:00:00.000Z,0
Total,2025-07-04T00:00:00.000Z,0
Total,2025-07-05T00:00:00.000Z,0
Total,2025-07-06T00:00:00.000Z,0.004065040498971939
Total,2025-07-07T00:00:00.000Z,0.0033167495857924223
Total,2025-07-08T00:00:00.000Z,0.001788908732123673
Total,2025-07-09T00:00:00.000Z,0.002406738931313157
