Breakdown,Date,Day 7 Stickiness
Total,2025-06-12T00:00:00.000Z,0.004878048785030842
Total,2025-06-13T00:00:00.000Z,0.0014836795162409544
Total,2025-06-14T00:00:00.000Z,0.0015847861068323255
Total,2025-06-15T00:00:00.000Z,0
Total,2025-06-16T00:00:00.000Z,0.0020491802133619785
Total,2025-06-17T00:00:00.000Z,0
Total,2025-06-18T00:00:00.000Z,0
Total,2025-06-19T00:00:00.000Z,0
Total,2025-06-20T00:00:00.000Z,0.0037359900306910276
Total,2025-06-21T00:00:00.000Z,0.0015243901871144772
Total,2025-06-22T00:00:00.000Z,0
Total,2025-06-23T00:00:00.000Z,0
Total,2025-06-24T00:00:00.000Z,0.0025125627871602774
Total,2025-06-25T00:00:00.000Z,0
Total,2025-06-26T00:00:00.000Z,0
Total,2025-06-27T00:00:00.000Z,0
Total,2025-06-28T00:00:00.000Z,0
Total,2025-06-29T00:00:00.000Z,0.002659574383869767
Total,2025-06-30T00:00:00.000Z,0
Total,2025-07-01T00:00:00.000Z,0
Total,2025-07-02T00:00:00.000Z,0
Total,2025-07-03T00:00:00.000Z,0
Total,2025-07-04T00:00:00.000Z,0.0021186440717428923
Total,2025-07-05T00:00:00.000Z,0
Total,2025-07-06T00:00:00.000Z,0.0038022813387215137
Total,2025-07-07T00:00:00.000Z,0.0030303029343485832
Total,2025-07-08T00:00:00.000Z,0.0016420361353084445
Total,2025-07-09T00:00:00.000Z,0.0032362460624426603
