Date,2025-07-08T00:00:00.000Z
Language,Series,Monthly Active Users
English,Monthly Active Users,13246
Spanish,Monthly Active Users,2181
Russian,Monthly Active Users,1738
Portuguese,Monthly Active Users,1640
Indonesian,Monthly Active Users,946
French,Monthly Active Users,595
Arabic,Monthly Active Users,418
Vietnamese,Monthly Active Users,400
Thai,Monthly Active Users,324
German,Monthly Active Users,310
