Date,2025-07-08T00:00:00.000Z
Age Group,Series,Monthly Active Users
18+,Monthly Active Users,15034
13-17,Monthly Active Users,6392
9-12,Monthly Active Users,1135
<9,Monthly Active Users,540
Unknown,Monthly Active Users,192
